ID,business_type,campaign_goal,budget_level,campaign_duration,area_type,active_hours,ad_style,interaction_goal,offer_type,business_stage,best_place
1899,fashion_store,product_launch,medium,mid_month,main_street,morning,short_video,store_visit,service,new,streets
1900,clinic,footfall,low,short_week,near_entertainment,evening,coupon_offer,purchase,product,established,entertainment_restaurants
1901,education_center,sales,low,long_2months,main_street,evening,static_image,website_visit,service,established,streets
1902,fashion_store,sales,low,mid_month,near_entertainment,evening,short_video,store_visit,product,established,entertainment_restaurants
1903,fashion_store,awareness,low,mid_month,inside_mall,evening,short_video,social_follow,service,established,malls
1904,restaurant,sales,high,mid_month,main_street,evening,short_video,store_visit,product,established,entertainment_restaurants
1905,supermarket,awareness,medium,short_week,main_street,morning,short_video,store_visit,product,new,streets
1906,fashion_store,sales,low,long_2months,main_street,noon,short_video,purchase,product,established,malls
1907,fashion_store,sales,low,short_week,main_street,morning,static_image,store_visit,product,famous,malls
1908,restaurant,product_launch,medium,short_week,near_entertainment,morning,short_video,store_visit,product,famous,malls
1909,restaurant,footfall,medium,mid_month,main_street,evening,static_image,website_visit,product,new,malls
1910,education_center,sales,medium,mid_month,inside_mall,morning,static_image,store_visit,service,established,streets
1911,clinic,awareness,medium,long_2months,main_street,evening,coupon_offer,store_visit,service,established,entertainment_restaurants
1912,fashion_store,awareness,medium,short_week,inside_mall,evening,coupon_offer,website_visit,product,established,malls
1913,education_center,sales,low,short_week,main_street,morning,short_video,website_visit,service,established,streets
1914,fashion_store,sales,high,long_2months,near_entertainment,noon,short_video,purchase,service,established,entertainment_restaurants
1915,electronics,footfall,low,mid_month,inside_mall,evening,short_video,purchase,service,established,malls
1916,electronics,sales,high,short_week,main_street,evening,short_video,store_visit,service,new,malls
1917,restaurant,sales,low,short_week,main_street,evening,static_image,store_visit,product,new,streets
1918,fashion_store,footfall,low,short_week,inside_mall,morning,short_video,store_visit,product,established,malls
1919,education_center,awareness,medium,short_week,near_entertainment,evening,coupon_offer,website_visit,product,established,entertainment_restaurants
1920,beauty_salon,sales,medium,mid_month,main_street,noon,coupon_offer,social_follow,service,established,malls
1921,fashion_store,awareness,medium,short_week,inside_mall,evening,short_video,purchase,product,established,entertainment_restaurants
1922,restaurant,sales,low,mid_month,main_street,noon,static_image,website_visit,product,new,streets
1923,clinic,sales,medium,mid_month,inside_mall,morning,coupon_offer,purchase,service,established,malls
1924,restaurant,footfall,high,short_week,inside_mall,evening,coupon_offer,store_visit,service,famous,malls
1925,beauty_salon,footfall,medium,mid_month,inside_mall,morning,static_image,store_visit,experience,new,malls
1926,supermarket,footfall,low,short_week,inside_mall,evening,short_video,social_follow,product,established,malls
1927,supermarket,footfall,low,short_week,inside_mall,evening,static_image,website_visit,experience,new,malls
1928,fashion_store,sales,low,long_2months,main_street,morning,short_video,social_follow,product,established,malls
1929,clinic,sales,high,short_week,inside_mall,evening,coupon_offer,social_follow,product,new,malls
1930,fashion_store,footfall,medium,long_2months,main_street,noon,short_video,social_follow,product,established,streets
1931,restaurant,sales,high,mid_month,inside_mall,evening,short_video,website_visit,product,established,streets
1932,restaurant,footfall,low,mid_month,inside_mall,evening,static_image,purchase,product,new,entertainment_restaurants
1933,cafe,awareness,high,mid_month,near_entertainment,noon,short_video,website_visit,product,famous,entertainment_restaurants
1934,fashion_store,sales,high,short_week,main_street,evening,static_image,store_visit,service,famous,malls
1935,education_center,sales,medium,short_week,main_street,noon,static_image,purchase,product,established,streets
1936,clinic,awareness,medium,mid_month,near_entertainment,evening,coupon_offer,website_visit,product,established,entertainment_restaurants
1937,fashion_store,footfall,medium,short_week,inside_mall,evening,static_image,purchase,product,famous,malls
1938,fashion_store,sales,low,short_week,main_street,evening,short_video,store_visit,service,established,malls
1939,electronics,footfall,medium,long_2months,inside_mall,noon,coupon_offer,store_visit,product,established,malls
1940,electronics,awareness,high,long_2months,inside_mall,morning,static_image,website_visit,experience,famous,malls
1941,supermarket,product_launch,low,mid_month,main_street,noon,static_image,purchase,service,established,streets
1942,restaurant,footfall,medium,mid_month,inside_mall,evening,coupon_offer,store_visit,product,new,entertainment_restaurants
1943,education_center,sales,medium,mid_month,inside_mall,noon,static_image,website_visit,product,famous,streets
1944,gym,sales,medium,mid_month,inside_mall,evening,short_video,purchase,product,famous,malls
1945,supermarket,footfall,low,long_2months,inside_mall,noon,static_image,store_visit,product,established,entertainment_restaurants
1946,fashion_store,product_launch,medium,mid_month,main_street,noon,static_image,social_follow,experience,established,streets
1947,fashion_store,footfall,low,long_2months,inside_mall,noon,short_video,store_visit,product,established,malls
1948,fashion_store,footfall,low,mid_month,inside_mall,noon,short_video,store_visit,product,famous,malls
1949,cafe,awareness,medium,mid_month,inside_mall,morning,coupon_offer,store_visit,product,famous,malls
1950,restaurant,awareness,high,long_2months,near_entertainment,evening,static_image,social_follow,product,new,entertainment_restaurants
1951,supermarket,sales,high,mid_month,main_street,morning,coupon_offer,store_visit,product,established,malls
1952,restaurant,footfall,high,mid_month,inside_mall,evening,short_video,purchase,service,famous,malls
1953,electronics,awareness,high,mid_month,main_street,evening,short_video,store_visit,product,new,streets
1954,cafe,sales,low,short_week,inside_mall,evening,short_video,purchase,product,established,entertainment_restaurants
1955,clinic,footfall,medium,short_week,inside_mall,morning,short_video,purchase,service,new,entertainment_restaurants
1956,restaurant,awareness,low,short_week,near_entertainment,evening,coupon_offer,social_follow,product,established,entertainment_restaurants
1957,restaurant,footfall,medium,long_2months,main_street,evening,short_video,store_visit,service,established,streets
1958,fashion_store,footfall,medium,mid_month,near_entertainment,evening,short_video,purchase,service,famous,malls
1959,gym,sales,medium,mid_month,inside_mall,evening,coupon_offer,website_visit,product,established,malls
1960,restaurant,footfall,low,mid_month,inside_mall,evening,short_video,purchase,service,established,entertainment_restaurants
1961,cafe,footfall,high,short_week,main_street,morning,coupon_offer,store_visit,product,established,streets
1962,cafe,product_launch,high,short_week,inside_mall,evening,coupon_offer,purchase,product,established,entertainment_restaurants
1963,gym,awareness,high,long_2months,main_street,noon,static_image,purchase,experience,famous,malls
1964,electronics,sales,medium,short_week,main_street,evening,short_video,store_visit,product,established,malls
1965,restaurant,awareness,medium,long_2months,inside_mall,noon,coupon_offer,website_visit,service,new,streets
1966,fashion_store,footfall,medium,short_week,inside_mall,evening,short_video,website_visit,product,established,streets
1967,supermarket,awareness,medium,short_week,main_street,noon,static_image,website_visit,product,established,streets
1968,gaming_arcade,sales,medium,mid_month,main_street,evening,short_video,store_visit,product,new,streets
1969,fashion_store,sales,medium,mid_month,inside_mall,evening,coupon_offer,purchase,service,established,malls
1970,beauty_salon,footfall,low,mid_month,near_entertainment,noon,short_video,purchase,service,established,entertainment_restaurants
1971,supermarket,footfall,medium,long_2months,inside_mall,evening,coupon_offer,store_visit,product,established,malls
1972,electronics,sales,medium,mid_month,main_street,morning,short_video,purchase,service,famous,malls
1973,clinic,footfall,low,mid_month,inside_mall,noon,static_image,purchase,experience,established,malls
1974,cafe,sales,medium,long_2months,main_street,evening,coupon_offer,purchase,service,famous,malls
1975,fashion_store,footfall,medium,mid_month,main_street,evening,short_video,purchase,product,established,streets
1976,gym,footfall,medium,short_week,inside_mall,noon,static_image,store_visit,experience,established,streets
1977,education_center,footfall,medium,mid_month,near_entertainment,evening,coupon_offer,purchase,product,established,streets
1978,clinic,sales,high,mid_month,inside_mall,morning,static_image,purchase,product,established,malls
1979,restaurant,footfall,low,mid_month,inside_mall,noon,short_video,website_visit,product,famous,malls
1980,supermarket,footfall,high,long_2months,near_entertainment,morning,short_video,store_visit,product,new,entertainment_restaurants
1981,gaming_arcade,awareness,medium,long_2months,inside_mall,evening,short_video,social_follow,service,established,entertainment_restaurants
1982,electronics,product_launch,medium,short_week,inside_mall,evening,short_video,website_visit,experience,established,malls
1983,education_center,sales,low,short_week,near_entertainment,evening,short_video,store_visit,service,established,entertainment_restaurants
1984,supermarket,sales,medium,short_week,inside_mall,noon,static_image,store_visit,product,new,malls
1985,clinic,footfall,medium,long_2months,main_street,evening,coupon_offer,purchase,product,established,streets
1986,education_center,awareness,low,mid_month,main_street,evening,static_image,social_follow,experience,new,streets
1987,fashion_store,sales,medium,mid_month,inside_mall,evening,coupon_offer,store_visit,product,established,streets
1988,clinic,awareness,low,mid_month,main_street,evening,coupon_offer,purchase,product,new,streets
1989,clinic,product_launch,medium,mid_month,main_street,noon,coupon_offer,store_visit,experience,established,streets
1990,restaurant,awareness,high,mid_month,near_entertainment,morning,coupon_offer,purchase,experience,established,streets
1991,beauty_salon,sales,high,short_week,main_street,evening,short_video,website_visit,product,famous,malls
1992,education_center,footfall,high,mid_month,main_street,morning,static_image,website_visit,product,new,streets
1993,supermarket,sales,low,mid_month,inside_mall,evening,short_video,website_visit,experience,famous,malls
1994,fashion_store,awareness,medium,short_week,main_street,morning,coupon_offer,store_visit,product,established,streets
1995,gym,footfall,high,mid_month,inside_mall,evening,static_image,website_visit,product,famous,streets
1996,fashion_store,sales,low,long_2months,near_entertainment,evening,short_video,social_follow,service,established,malls
1997,supermarket,awareness,low,short_week,main_street,evening,short_video,store_visit,product,established,streets
1998,fashion_store,awareness,high,short_week,near_entertainment,noon,static_image,purchase,product,established,malls
1999,cafe,sales,low,mid_month,main_street,noon,static_image,purchase,product,new,streets
2000,fashion_store,footfall,low,mid_month,main_street,noon,static_image,store_visit,product,established,malls
2001,gym,footfall,high,short_week,inside_mall,morning,short_video,store_visit,product,established,streets
2002,restaurant,awareness,medium,mid_month,main_street,morning,static_image,website_visit,product,established,streets
2003,gym,awareness,medium,mid_month,near_entertainment,morning,short_video,website_visit,product,famous,entertainment_restaurants
2004,fashion_store,sales,medium,short_week,main_street,morning,short_video,store_visit,product,famous,malls
2005,gaming_arcade,sales,medium,mid_month,near_entertainment,morning,short_video,store_visit,product,new,entertainment_restaurants
2006,electronics,sales,low,short_week,main_street,morning,short_video,purchase,product,new,malls
2007,electronics,sales,high,short_week,inside_mall,noon,coupon_offer,website_visit,product,new,malls
2008,restaurant,sales,high,mid_month,near_entertainment,evening,short_video,store_visit,product,new,entertainment_restaurants
2009,cafe,footfall,medium,mid_month,near_entertainment,morning,short_video,store_visit,service,established,entertainment_restaurants
2010,gaming_arcade,sales,low,short_week,inside_mall,evening,short_video,website_visit,service,new,entertainment_restaurants
2011,fashion_store,sales,low,short_week,near_entertainment,evening,short_video,purchase,service,established,entertainment_restaurants
2012,supermarket,sales,medium,mid_month,inside_mall,evening,coupon_offer,store_visit,service,new,malls
2013,education_center,product_launch,medium,long_2months,main_street,morning,static_image,purchase,experience,established,streets
2014,clinic,sales,high,mid_month,inside_mall,noon,coupon_offer,store_visit,product,established,malls
2015,fashion_store,footfall,high,short_week,near_entertainment,noon,short_video,store_visit,product,established,entertainment_restaurants
2016,beauty_salon,sales,medium,mid_month,main_street,noon,short_video,store_visit,experience,established,streets
2017,clinic,sales,low,short_week,main_street,evening,static_image,website_visit,product,established,streets
2018,fashion_store,sales,medium,mid_month,inside_mall,evening,short_video,website_visit,product,new,malls
2019,restaurant,footfall,medium,short_week,main_street,evening,static_image,purchase,product,established,streets
2020,education_center,sales,medium,mid_month,main_street,evening,short_video,store_visit,product,new,streets
2021,restaurant,awareness,medium,mid_month,near_entertainment,noon,static_image,purchase,experience,famous,streets
2022,fashion_store,sales,low,short_week,inside_mall,noon,coupon_offer,website_visit,product,established,malls
2023,fashion_store,sales,low,mid_month,near_entertainment,morning,coupon_offer,store_visit,service,new,malls
2024,clinic,footfall,medium,mid_month,near_entertainment,evening,short_video,store_visit,service,established,entertainment_restaurants
2025,restaurant,footfall,low,mid_month,near_entertainment,evening,static_image,store_visit,product,famous,streets
2026,cafe,sales,low,short_week,inside_mall,morning,coupon_offer,website_visit,product,established,malls
2027,clinic,awareness,low,mid_month,inside_mall,morning,coupon_offer,store_visit,experience,established,streets
2028,supermarket,product_launch,low,mid_month,inside_mall,evening,static_image,purchase,product,new,entertainment_restaurants
2029,electronics,sales,low,short_week,main_street,morning,short_video,store_visit,service,established,malls
2030,gym,sales,low,long_2months,inside_mall,evening,short_video,website_visit,experience,famous,malls
2031,clinic,sales,high,long_2months,main_street,morning,short_video,social_follow,service,established,streets
2032,beauty_salon,sales,low,short_week,inside_mall,noon,short_video,store_visit,product,famous,malls
2033,supermarket,product_launch,low,long_2months,inside_mall,morning,coupon_offer,store_visit,service,new,malls
2034,cafe,sales,medium,mid_month,inside_mall,evening,short_video,store_visit,experience,established,malls
2035,fashion_store,sales,high,mid_month,main_street,noon,coupon_offer,social_follow,product,famous,malls
2036,fashion_store,awareness,medium,mid_month,near_entertainment,morning,short_video,website_visit,experience,new,entertainment_restaurants
2037,fashion_store,product_launch,medium,mid_month,near_entertainment,evening,short_video,purchase,product,established,malls
2038,restaurant,sales,low,mid_month,main_street,evening,short_video,store_visit,product,famous,malls
2039,education_center,sales,medium,mid_month,near_entertainment,morning,static_image,store_visit,service,new,entertainment_restaurants
2040,clinic,awareness,low,mid_month,near_entertainment,noon,static_image,website_visit,experience,established,entertainment_restaurants
2041,restaurant,sales,high,mid_month,inside_mall,noon,coupon_offer,social_follow,product,established,malls
2042,beauty_salon,awareness,low,mid_month,inside_mall,morning,short_video,purchase,product,established,malls
2043,beauty_salon,footfall,medium,short_week,near_entertainment,evening,short_video,purchase,product,famous,malls
2044,education_center,footfall,low,short_week,main_street,noon,coupon_offer,purchase,product,established,streets
2045,fashion_store,footfall,medium,long_2months,near_entertainment,morning,short_video,store_visit,product,new,entertainment_restaurants
2046,restaurant,sales,medium,short_week,inside_mall,evening,short_video,website_visit,product,established,entertainment_restaurants
2047,supermarket,footfall,medium,mid_month,main_street,morning,short_video,store_visit,service,established,streets
2048,restaurant,sales,medium,mid_month,near_entertainment,noon,short_video,purchase,service,new,entertainment_restaurants
2049,education_center,product_launch,low,mid_month,main_street,evening,short_video,social_follow,product,established,streets
2050,fashion_store,footfall,high,mid_month,main_street,morning,short_video,website_visit,experience,new,streets
2051,clinic,product_launch,medium,short_week,inside_mall,evening,coupon_offer,store_visit,service,established,malls
2052,cafe,footfall,medium,mid_month,main_street,evening,static_image,store_visit,service,established,streets
2053,cafe,sales,medium,mid_month,near_entertainment,evening,coupon_offer,purchase,product,established,malls
2054,gaming_arcade,sales,high,mid_month,near_entertainment,noon,coupon_offer,social_follow,service,established,malls
2055,fashion_store,sales,low,short_week,main_street,noon,static_image,purchase,product,established,streets
2056,beauty_salon,sales,medium,long_2months,main_street,morning,short_video,purchase,product,famous,malls
2057,fashion_store,awareness,medium,mid_month,inside_mall,noon,short_video,website_visit,product,established,malls
2058,fashion_store,product_launch,medium,mid_month,inside_mall,evening,short_video,store_visit,service,established,malls
2059,gym,footfall,low,mid_month,inside_mall,noon,static_image,purchase,experience,new,malls
2060,gaming_arcade,sales,low,short_week,inside_mall,noon,coupon_offer,store_visit,product,new,malls
2061,fashion_store,sales,high,mid_month,inside_mall,noon,static_image,purchase,service,new,malls
2062,electronics,awareness,low,short_week,inside_mall,morning,coupon_offer,store_visit,service,established,malls
2063,clinic,sales,high,long_2months,inside_mall,noon,coupon_offer,website_visit,product,established,malls
2064,restaurant,footfall,low,long_2months,main_street,morning,short_video,website_visit,experience,established,streets
2065,restaurant,sales,medium,long_2months,inside_mall,morning,static_image,website_visit,experience,established,entertainment_restaurants
2066,supermarket,awareness,medium,long_2months,near_entertainment,evening,coupon_offer,store_visit,product,new,entertainment_restaurants
2067,restaurant,sales,medium,mid_month,inside_mall,evening,static_image,store_visit,service,established,entertainment_restaurants
2068,clinic,sales,medium,short_week,main_street,noon,short_video,store_visit,service,established,streets
2069,fashion_store,footfall,medium,mid_month,near_entertainment,noon,static_image,website_visit,service,famous,entertainment_restaurants
2070,fashion_store,awareness,medium,long_2months,inside_mall,morning,coupon_offer,purchase,product,famous,malls
2071,restaurant,sales,low,mid_month,near_entertainment,noon,coupon_offer,store_visit,product,established,malls
2072,clinic,product_launch,high,mid_month,near_entertainment,noon,short_video,website_visit,product,new,entertainment_restaurants
2073,beauty_salon,sales,low,mid_month,inside_mall,morning,static_image,store_visit,product,established,streets
2074,restaurant,sales,medium,mid_month,main_street,evening,short_video,store_visit,service,established,entertainment_restaurants
2075,cafe,sales,medium,short_week,inside_mall,morning,coupon_offer,store_visit,service,established,malls
2076,fashion_store,sales,medium,short_week,near_entertainment,evening,short_video,store_visit,experience,new,entertainment_restaurants
2077,gym,sales,medium,mid_month,main_street,evening,static_image,store_visit,product,established,streets
2078,clinic,awareness,medium,short_week,near_entertainment,evening,static_image,store_visit,product,established,streets
2079,electronics,sales,low,long_2months,near_entertainment,evening,short_video,store_visit,service,established,streets
2080,supermarket,sales,medium,short_week,main_street,evening,coupon_offer,purchase,product,famous,malls
2081,education_center,sales,low,long_2months,near_entertainment,noon,coupon_offer,purchase,product,established,malls
2082,education_center,sales,medium,short_week,main_street,morning,coupon_offer,website_visit,service,famous,entertainment_restaurants
2083,clinic,sales,high,mid_month,near_entertainment,noon,short_video,social_follow,experience,new,entertainment_restaurants
2084,supermarket,awareness,medium,long_2months,main_street,morning,coupon_offer,purchase,service,established,streets
2085,cafe,awareness,low,short_week,inside_mall,morning,short_video,purchase,product,new,streets
2086,cafe,awareness,medium,long_2months,main_street,evening,static_image,purchase,product,established,streets
2087,clinic,awareness,low,short_week,main_street,evening,short_video,store_visit,product,established,streets
2088,fashion_store,footfall,high,long_2months,near_entertainment,evening,short_video,purchase,experience,established,entertainment_restaurants
2089,gaming_arcade,sales,low,long_2months,main_street,evening,short_video,store_visit,product,new,entertainment_restaurants
2090,supermarket,product_launch,medium,short_week,inside_mall,evening,coupon_offer,purchase,product,famous,entertainment_restaurants
2091,electronics,sales,medium,short_week,near_entertainment,noon,short_video,purchase,product,established,entertainment_restaurants
2092,restaurant,awareness,low,long_2months,main_street,noon,static_image,purchase,service,established,streets
2093,clinic,sales,high,long_2months,near_entertainment,evening,short_video,social_follow,experience,established,entertainment_restaurants
2094,restaurant,awareness,low,mid_month,near_entertainment,morning,static_image,store_visit,product,established,streets
2095,restaurant,sales,low,mid_month,main_street,evening,static_image,purchase,service,new,streets
2096,cafe,footfall,medium,mid_month,main_street,morning,short_video,store_visit,product,established,entertainment_restaurants
2097,fashion_store,footfall,low,short_week,inside_mall,noon,static_image,store_visit,service,established,malls
2098,fashion_store,sales,low,mid_month,inside_mall,noon,coupon_offer,store_visit,product,established,malls
2099,clinic,sales,high,mid_month,inside_mall,noon,coupon_offer,store_visit,experience,established,malls
2100,gaming_arcade,footfall,low,short_week,inside_mall,evening,short_video,purchase,experience,new,entertainment_restaurants
2101,electronics,awareness,medium,mid_month,main_street,morning,short_video,website_visit,product,new,streets
2102,restaurant,product_launch,medium,mid_month,inside_mall,evening,short_video,store_visit,product,established,entertainment_restaurants
2103,cafe,product_launch,high,mid_month,main_street,evening,short_video,store_visit,product,new,entertainment_restaurants
2104,gym,footfall,medium,short_week,inside_mall,evening,coupon_offer,website_visit,product,famous,malls
2105,gym,sales,medium,short_week,inside_mall,evening,short_video,purchase,product,established,entertainment_restaurants
2106,fashion_store,footfall,high,mid_month,inside_mall,morning,static_image,social_follow,product,famous,entertainment_restaurants
2107,supermarket,product_launch,low,long_2months,near_entertainment,morning,static_image,store_visit,product,famous,malls
2108,gaming_arcade,sales,medium,mid_month,main_street,evening,coupon_offer,store_visit,service,established,malls
2109,gaming_arcade,footfall,medium,mid_month,inside_mall,evening,short_video,social_follow,product,new,entertainment_restaurants
2110,supermarket,sales,low,short_week,inside_mall,evening,short_video,purchase,product,famous,malls
2111,education_center,sales,medium,long_2months,main_street,noon,short_video,website_visit,service,new,streets
2112,clinic,sales,medium,mid_month,main_street,morning,static_image,purchase,product,new,streets
2113,cafe,sales,medium,short_week,near_entertainment,evening,coupon_offer,social_follow,product,established,malls
2114,electronics,sales,medium,short_week,inside_mall,morning,short_video,social_follow,service,established,malls
2115,fashion_store,awareness,medium,mid_month,inside_mall,evening,static_image,store_visit,experience,new,malls
2116,restaurant,sales,high,short_week,inside_mall,noon,short_video,store_visit,service,new,entertainment_restaurants
2117,electronics,sales,medium,mid_month,near_entertainment,morning,short_video,website_visit,product,established,entertainment_restaurants
2118,cafe,sales,medium,mid_month,near_entertainment,noon,coupon_offer,purchase,experience,famous,malls
2119,fashion_store,awareness,high,short_week,inside_mall,evening,coupon_offer,purchase,service,established,malls
2120,gym,sales,medium,short_week,near_entertainment,evening,short_video,purchase,service,established,malls
2121,gaming_arcade,awareness,medium,short_week,inside_mall,morning,short_video,purchase,service,established,streets
2122,clinic,sales,low,short_week,near_entertainment,noon,static_image,purchase,experience,established,malls
2123,fashion_store,footfall,medium,short_week,main_street,evening,coupon_offer,purchase,product,new,streets
2124,clinic,footfall,medium,short_week,main_street,noon,static_image,purchase,product,famous,malls
2125,restaurant,footfall,high,short_week,near_entertainment,morning,static_image,social_follow,service,established,malls
2126,restaurant,sales,low,mid_month,main_street,morning,short_video,store_visit,experience,new,entertainment_restaurants
2127,restaurant,product_launch,medium,mid_month,inside_mall,evening,coupon_offer,website_visit,service,famous,entertainment_restaurants
2128,gym,awareness,high,long_2months,inside_mall,evening,coupon_offer,store_visit,experience,established,streets
2129,gaming_arcade,awareness,low,mid_month,main_street,morning,short_video,website_visit,experience,new,streets
2130,restaurant,sales,medium,mid_month,main_street,noon,coupon_offer,purchase,service,new,malls
2131,fashion_store,awareness,low,mid_month,inside_mall,evening,static_image,website_visit,experience,established,malls
2132,clinic,product_launch,medium,short_week,main_street,noon,coupon_offer,purchase,product,established,streets
2133,cafe,footfall,medium,long_2months,main_street,evening,static_image,website_visit,product,famous,streets
2134,fashion_store,sales,high,mid_month,near_entertainment,noon,static_image,website_visit,service,new,entertainment_restaurants
2135,electronics,sales,low,mid_month,main_street,noon,coupon_offer,purchase,product,new,malls
2136,beauty_salon,sales,medium,short_week,inside_mall,morning,static_image,social_follow,product,established,malls
2137,supermarket,sales,medium,short_week,inside_mall,evening,static_image,social_follow,product,established,malls
2138,electronics,footfall,medium,long_2months,inside_mall,noon,short_video,purchase,service,new,malls
2139,cafe,footfall,medium,mid_month,main_street,evening,static_image,purchase,experience,established,streets
2140,gym,footfall,low,short_week,near_entertainment,noon,short_video,purchase,product,established,entertainment_restaurants
2141,restaurant,awareness,low,mid_month,main_street,morning,short_video,store_visit,product,established,streets
2142,clinic,sales,low,short_week,near_entertainment,noon,short_video,social_follow,service,established,entertainment_restaurants
2143,clinic,footfall,low,long_2months,main_street,morning,coupon_offer,purchase,product,new,streets
2144,electronics,awareness,low,mid_month,inside_mall,noon,static_image,website_visit,experience,established,malls
2145,cafe,awareness,medium,mid_month,inside_mall,evening,short_video,store_visit,product,established,entertainment_restaurants
2146,clinic,awareness,high,mid_month,main_street,evening,static_image,purchase,experience,established,streets
2147,clinic,awareness,medium,long_2months,main_street,evening,static_image,purchase,service,new,streets
2148,supermarket,footfall,low,short_week,main_street,noon,short_video,website_visit,experience,famous,streets
2149,restaurant,awareness,medium,long_2months,main_street,evening,static_image,store_visit,experience,established,streets
2150,gaming_arcade,awareness,low,short_week,main_street,noon,coupon_offer,store_visit,service,established,streets
2151,fashion_store,sales,high,short_week,inside_mall,morning,coupon_offer,purchase,product,new,malls
2152,cafe,awareness,high,long_2months,main_street,noon,coupon_offer,store_visit,service,established,streets
2153,beauty_salon,sales,low,mid_month,inside_mall,noon,static_image,purchase,service,established,malls
2154,clinic,product_launch,low,short_week,inside_mall,morning,coupon_offer,website_visit,service,established,entertainment_restaurants
2155,cafe,footfall,high,mid_month,inside_mall,evening,static_image,store_visit,product,established,entertainment_restaurants
2156,cafe,awareness,medium,short_week,main_street,noon,static_image,purchase,product,new,streets
2157,restaurant,sales,medium,short_week,inside_mall,evening,short_video,store_visit,experience,established,entertainment_restaurants
2158,education_center,awareness,high,mid_month,main_street,noon,short_video,purchase,experience,established,streets
2159,gym,sales,medium,short_week,near_entertainment,morning,short_video,purchase,product,new,entertainment_restaurants
2160,fashion_store,product_launch,low,short_week,inside_mall,noon,coupon_offer,purchase,service,established,malls
2161,cafe,sales,medium,short_week,inside_mall,morning,coupon_offer,purchase,product,new,malls
2162,restaurant,footfall,low,long_2months,inside_mall,evening,short_video,purchase,product,new,entertainment_restaurants
2163,education_center,sales,low,short_week,main_street,evening,short_video,purchase,experience,established,streets
2164,cafe,awareness,high,long_2months,inside_mall,evening,coupon_offer,website_visit,service,famous,entertainment_restaurants
2165,fashion_store,product_launch,medium,mid_month,inside_mall,noon,coupon_offer,website_visit,product,famous,malls
2166,restaurant,awareness,low,short_week,main_street,evening,short_video,website_visit,service,new,streets
2167,fashion_store,sales,low,short_week,near_entertainment,noon,static_image,purchase,product,famous,malls
2168,beauty_salon,sales,low,mid_month,inside_mall,evening,static_image,store_visit,service,established,malls
2169,gaming_arcade,sales,medium,mid_month,inside_mall,evening,coupon_offer,purchase,experience,new,malls
2170,restaurant,footfall,medium,short_week,inside_mall,noon,short_video,purchase,product,established,entertainment_restaurants
2171,clinic,sales,low,short_week,main_street,evening,short_video,store_visit,product,established,streets
2172,restaurant,footfall,low,mid_month,main_street,evening,short_video,store_visit,product,established,malls
2173,restaurant,awareness,medium,long_2months,inside_mall,noon,static_image,purchase,service,established,streets
2174,restaurant,footfall,medium,mid_month,inside_mall,morning,coupon_offer,store_visit,service,established,entertainment_restaurants
2175,fashion_store,awareness,medium,short_week,inside_mall,evening,short_video,purchase,product,new,streets
2176,supermarket,footfall,medium,short_week,near_entertainment,noon,short_video,store_visit,product,established,entertainment_restaurants
2177,restaurant,sales,medium,short_week,near_entertainment,morning,coupon_offer,purchase,service,new,malls
2178,fashion_store,sales,medium,mid_month,main_street,morning,static_image,purchase,service,established,streets
2179,education_center,awareness,medium,mid_month,main_street,evening,static_image,website_visit,product,new,streets
2180,restaurant,awareness,low,short_week,main_street,morning,short_video,store_visit,service,famous,entertainment_restaurants
2181,restaurant,sales,low,mid_month,near_entertainment,evening,static_image,store_visit,product,established,entertainment_restaurants
2182,beauty_salon,footfall,medium,mid_month,inside_mall,noon,short_video,store_visit,product,new,malls
2183,gym,awareness,medium,mid_month,main_street,evening,coupon_offer,store_visit,product,new,streets
2184,gym,sales,medium,mid_month,near_entertainment,noon,static_image,website_visit,product,famous,entertainment_restaurants
2185,gym,awareness,low,mid_month,inside_mall,evening,static_image,social_follow,service,famous,streets
2186,supermarket,awareness,low,mid_month,main_street,morning,coupon_offer,store_visit,service,established,streets
2187,fashion_store,footfall,low,short_week,main_street,morning,short_video,website_visit,product,famous,streets
2188,electronics,awareness,medium,mid_month,near_entertainment,noon,static_image,website_visit,product,established,entertainment_restaurants
2189,education_center,sales,low,short_week,main_street,evening,short_video,purchase,service,new,streets
2190,education_center,awareness,low,long_2months,near_entertainment,evening,static_image,store_visit,experience,established,streets
2191,fashion_store,sales,low,mid_month,near_entertainment,morning,short_video,website_visit,product,established,entertainment_restaurants
2192,restaurant,sales,low,short_week,main_street,evening,coupon_offer,purchase,service,established,malls
2193,electronics,awareness,high,mid_month,inside_mall,evening,coupon_offer,website_visit,product,established,malls
2194,beauty_salon,sales,medium,short_week,main_street,noon,short_video,website_visit,product,new,entertainment_restaurants
2195,restaurant,product_launch,high,mid_month,main_street,evening,static_image,social_follow,service,established,streets
2196,education_center,sales,low,mid_month,near_entertainment,noon,short_video,purchase,service,established,entertainment_restaurants
2197,clinic,footfall,low,long_2months,main_street,morning,coupon_offer,store_visit,experience,established,streets
2198,beauty_salon,sales,medium,long_2months,main_street,morning,short_video,purchase,product,established,streets
2199,supermarket,awareness,low,short_week,near_entertainment,morning,coupon_offer,purchase,product,established,streets
2200,fashion_store,footfall,medium,short_week,main_street,evening,short_video,purchase,service,established,streets
2201,gym,footfall,low,mid_month,near_entertainment,evening,static_image,social_follow,product,famous,entertainment_restaurants
